date,open,high,low,close,volume,market_cap,id,name,type,symbol,rank
2013-04-28,135.3,135.98,132.1,134.21,NA,150052e4,bitcoin,Bitcoin,currencies,BTC,1
2013-04-29,134.44,147.49,134,144.54,NA,149116e4,bitcoin,Bitcoin,currencies,BTC,1
2013-04-30,144,146.93,134.05,139,NA,159778e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-01,139,139.89,107.72,116.99,NA,154282e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-02,116.38,125.6,92.28,105.21,NA,129219e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-03,106.25,108.13,79.1,97.75,NA,118007e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-04,98.1,115,92.5,112.5,NA,108989e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-05,112.9,118.8,107.14,115.91,NA,125476e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-06,115.98,124.66,106.64,112.3,NA,128947e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-07,112.25,113.44,97.7,111.5,NA,124847e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-08,109.6,115.78,109.6,113.57,NA,121945e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-09,113.2,113.46,109.26,112.67,NA,125998e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-10,112.8,122,111.55,117.2,NA,125597e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-11,117.7,118.68,113.01,115.24,NA,131105e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-12,115.64,117.45,113.44,115,NA,128863e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-13,114.82,118.7,114.5,117.98,NA,127998e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-14,117.98,119.8,110.25,111.5,NA,131572e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-15,111.4,115.81,103.5,114.22,NA,124276e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-16,114.22,118.76,112.2,118.76,NA,127462e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-17,118.21,125.3,116.57,123.02,NA,131959e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-18,123.5,125.25,122.3,123.5,NA,137914e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-19,123.21,124.5,119.57,121.99,NA,137637e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-20,122.5,123.62,120.12,122,NA,136891e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-21,122.02,123,121.21,122.88,NA,136394e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-22,122.89,124,122,123.89,NA,137413e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-23,123.8,126.93,123.1,126.7,NA,138478e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-24,126.3,133.85,125.72,133.2,NA,14133e5,bitcoin,Bitcoin,currencies,BTC,1
2013-05-25,133.1,133.22,128.9,131.98,NA,148995e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-26,131.99,136,130.62,133.48,NA,147803e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-27,133.5,135.47,124.7,129.75,NA,149552e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-28,129.77,130.58,125.6,129,NA,145431e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-29,129,132.59,127.66,132.3,NA,144619e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-30,132.25,132.25,127,128.8,NA,148318e4,bitcoin,Bitcoin,currencies,BTC,1
2013-05-31,128.8,129.9,126.4,129,NA,144505e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-01,128.81,129.78,127.2,129.3,NA,14458e5,bitcoin,Bitcoin,currencies,BTC,1
2013-06-02,129.3,129.4,115.05,122.29,NA,145193e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-03,122.5,122.5,116,122.22,NA,137618e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-04,120.74,123.84,119.1,121.42,NA,135702e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-05,121.4,123.47,119.9,121.65,NA,136511e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-06,121.9,123.1,117.25,118,NA,13713e5,bitcoin,Bitcoin,currencies,BTC,1
2013-06-07,118.97,119,106.42,111.5,NA,133888e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-08,111,111.42,107.3,108.3,NA,124963e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-09,107.89,108.99,88.5,100,NA,121513e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-10,100.44,110.1,95,106.35,NA,113157e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-11,106.35,109.6,104,108.9,NA,119864e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-12,109,111.79,106.73,108.15,NA,1229e6,bitcoin,Bitcoin,currencies,BTC,1
2013-06-13,108.78,110.3,100.53,104,NA,122703e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-14,103.95,104.7,98,99.98,NA,117306e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-15,100,103.7,98,99.99,NA,112895e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-16,99.8,101.6,98.95,99.51,NA,112712e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-17,99.9,102.21,99,101.7,NA,112872e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-18,101.95,111.11,101.03,107.4,NA,115225e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-19,107.05,110.22,105.75,108.25,NA,121026e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-20,108.25,114.3,107.5,110.15,NA,122421e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-21,111.29,114.99,107.69,109.5,NA,1259e6,bitcoin,Bitcoin,currencies,BTC,1
2013-06-22,109.5,109.96,107.51,108.3,NA,123921e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-23,108.2,108.8,106.23,107.6,NA,122498e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-24,107.9,108.33,100.98,102.74,NA,122203e4,bitcoin,Bitcoin,currencies,BTC,1
2013-06-25,102.09,106.47,101.01,103.95,NA,115661e4,bitcoin,Bitcoin,currencies,BTC,1
